Rang,Name,1970,1980,1990,2000,2010,2018,Bundesland
56.,Paderborn,68.207,110.155,120.680,139.084,146.283,150.580,Nordrhein-Westfalen
57.,Ingolstadt,70.594,90.490,105.489,115.722,125.088,136.981,Bayern
58.,Offenbach am Main,118.841,110.993,114.992,117.535,120.435,128.744,Hessen
59.,Würzburg,116.395,128.652,127.777,127.966,133.799,127.880,Bayern
60.,Fürth,94.415,99.088,103.362,110.477,114.628,127.748,Bayern
61.,Ulm,93.158,100.671,110.529,117.233,122.801,126.329,Baden-Württemberg
62.,Heilbronn,102.300,111.938,115.843,119.305,122.879,125.960,Baden-Württemberg
63.,Pforzheim,91.104,106.500,112.944,117.156,119.781,125.542,Baden-Württemberg
64.,Wolfsburg,90.115,125.935,128.510,121.805,121.451,124.151,Niedersachsen
65.,Göttingen,109.892,129.656,121.831,124.132,121.060,119.801,Niedersachsen
66.,Bottrop,106.225,114.571,118.936,120.611,116.771,117.383,Nordrhein-Westfalen
67.,Reutlingen,79.705,95.456,103.687,110.650,112.484,115.966,Baden-Württemberg
68.,Koblenz,120.079,113.676,108.733,107.950,106.417,114.024,Rheinland-Pfalz
69.,Bremerhaven,142.919,138.728,130.446,120.822,113.366,113.634,Bremen
70.,Recklinghausen,125.369,119.418,125.060,124.785,118.365,112.267,Nordrhein-Westfalen
71.,Bergisch Gladbach,50.228,101.472,104.037,105.693,105.723,111.966,Nordrhein-Westfalen
72.,Erlangen,85.061,101.845,102.440,100.778,105.629,111.962,Bayern
73.,Jena,88.130,103.718,102.518,99.893,105.129,111.407,Thüringen
74.,Remscheid,136.822,129.082,123.155,119.287,110.563,110.994,Nordrhein-Westfalen
75.,Trier,103.598,95.536,97.835,99.410,105.260,110.636,Rheinland-Pfalz
76.,Salzgitter,119.031,113.600,114.355,112.302,102.394,104.948,Niedersachsen
77.,Moers,53.410,99.923,104.595,107.062,105.506,103.725,Nordrhein-Westfalen
78.,Siegen,57.563,112.320,109.174,108.476,103.424,102.836,Nordrhein-Westfalen
79.,Hildesheim,93.373,102.619,105.291,103.909,102.794,101.990,Niedersachsen
80.,Cottbus,83.444,113.479,125.891,108.491,102.091,100.219,Brandenburg
81.,Gütersloh,75.912,78.221,86.807,95.158,96.404,100.194,Nordrhein-Westfalen
82.,Kaiserslautern,100.696,98.745,99.351,99.825,99.184,99.845,Rheinland-Pfalz
83.,Witten,97.687,105.876,105.403,103.196,98.233,96.563,Nordrhein-Westfalen
84.,Hanau,55.492,86.402,86.913,88.294,88.637,96.023,Hessen
85.,Schwerin,97.389,121.175,127.447,101.267,95.220,95.818,Mecklenburg-Vorpommern
86.,Gera,111.535,125.383,129.037,112.835,99.262,94.152,Thüringen
87.,Esslingen am Neckar,87.371,90.835,91.685,89.667,91.869,93.542,Baden-Württemberg
88.,Ludwigsburg,78.111,81.589,82.343,87.146,87.735,93.499,Baden-Württemberg
89.,Iserlohn,57.321,93.823,96.314,98.790,94.966,92.666,Nordrhein-Westfalen
90.,Düren,53.755,85.913,86.508,91.801,92.820,90.733,Nordrhein-Westfalen
91.,Tübingen,55.168,73.132,80.372,81.128,88.358,90.546,Baden-Württemberg
92.,Zwickau,126.988,122.129,114.632,103.008,93.750,89.540,Sachsen
93.,Flensburg,95.366,87.862,86.977,84.281,88.759,89.504,Schleswig-Holstein
94.,Gießen,75.532,76.374,74.497,73.138,77.366,88.546,Hessen
95.,Ratingen,44.479,89.466,91.007,91.437,91.088,87.297,Nordrhein-Westfalen
96.,Lünen,71.826,85.872,87.845,92.017,87.530,86.449,Nordrhein-Westfalen
97.,Villingen-Schwenningen3,37.999,78.904,78.218,80.891,81.022,85.181,Baden-Württemberg
98.,Konstanz,61.614,68.305,75.089,78.087,84.693,84.760,Baden-Württemberg
99.,Marl,76.999,89.082,91.467,93.256,87.557,83.941,Nordrhein-Westfalen
100.,Worms,77.064,73.603,76.503,80.361,81.736,83.330,Rheinland-Pfalz
101.,Velbert,55.610,93.056,89.253,89.782,84.033,81.984,Nordrhein-Westfalen
102.,Minden,48.860,77.713,78.145,83.079,82.114,81.682,Nordrhein-Westfalen
103.,Dessau-Roßlau2,98.402,102.529,96.754,83.153,86.906,81.237,Sachsen-Anhalt
104.,Neumünster,86.133,80.145,80.743,79.831,76.830,79.487,Schleswig-Holstein
105.,Norderstedt,55.770,65.301,68.450,71.523,71.992,79.159,Schleswig-Holstein
106.,Delmenhorst,63.870,72.370,75.154,76.644,74.361,77.607,Niedersachsen
107.,Bamberg,70.384,71.928,70.521,69.036,70.004,77.592,Bayern
108.,Viersen,85.698,81.114,77.453,77.130,75.360,76.905,Nordrhein-Westfalen
109.,Marburg,47.230,76.419,74.146,77.390,80.656,76.851,Hessen
110.,Wilhelmshaven,102.978,99.230,90.561,85.287,81.324,76.278,Niedersachsen
111.,Rheine,50.076,71.432,70.452,75.886,76.530,76.107,Nordrhein-Westfalen
112.,Gladbeck,83.132,79.747,80.267,77.789,75.253,75.687,Nordrhein-Westfalen
113.,Lüneburg,59.763,62.225,61.870,67.398,72.983,75.351,Niedersachsen
114.,Troisdorf,51.941,58.618,64.430,72.678,75.369,74.903,Nordrhein-Westfalen
115.,Dorsten,39.551,70.287,78.035,81.063,76.775,74.736,Nordrhein-Westfalen
116.,Bayreuth,64.185,70.633,72.345,74.153,72.683,74.657,Bayern
117.,Detmold,63.684,67.612,70.074,73.695,72.758,74.388,Nordrhein-Westfalen
118.,Arnsberg,22.398,78.056,75.864,77.473,74.227,73.628,Nordrhein-Westfalen
119.,Castrop-Rauxel,83.901,78.877,79.037,78.608,75.408,73.425,Nordrhein-Westfalen
120.,Lüdenscheid,79.086,74.578,79.401,80.613,75.463,72.611,Nordrhein-Westfalen
121.,Landshut,52.425,55.796,59.066,58.746,63.258,72.404,Bayern
122.,Brandenburg an der Havel,93.983,94.953,89.889,77.516,71.778,72.124,Brandenburg
123.,Bocholt,49.244,65.352,68.936,72.138,73.170,71.099,Nordrhein-Westfalen
124.,Aschaffenburg,55.119,59.257,64.098,67.592,68.678,70.527,Bayern
125.,Celle,57.130,72.820,72.260,72.127,70.242,69.602,Niedersachsen
126.,Kempten (Allgäu),44.884,57.376,61.906,61.389,62.060,68.907,Bayern
127.,Fulda,45.187,57.035,56.289,62.510,64.349,68.586,Hessen
128.,Aalen,37.066,63.030,64.781,66.066,66.113,68.456,Baden-Württemberg
129.,Lippstadt,41.743,61.927,62.345,66.933,66.976,67.901,Nordrhein-Westfalen
130.,Dinslaken,55.241,59.473,65.313,70.714,69.472,67.525,Nordrhein-Westfalen
131.,Herford,65.422,62.881,63.893,65.083,64.088,66.608,Nordrhein-Westfalen
132.,Kerpen,10.608,54.725,57.337,63.135,64.602,66.206,Nordrhein-Westfalen
133.,Rüsselsheim am Main,60.911,60.974,59.430,59.357,60.294,65.440,Hessen
134.,Weimar,63.634,63.709,60.326,62.425,65.479,65.090,Thüringen
135.,Plauen,82.026,78.828,71.774,71.543,66.098,64.931,Sachsen
136.,Sindelfingen,41.967,54.808,58.805,60.766,60.445,64.858,Baden-Württemberg
137.,Neuwied,62.666,60.485,62.075,67.057,64.318,64.574,Rheinland-Pfalz
138.,Dormagen,30.869,56.645,58.260,62.957,62.961,64.335,Nordrhein-Westfalen
139.,Neubrandenburg,46.087,79.006,89.284,73.318,65.282,64.086,Mecklenburg-Vorpommern
140.,Grevenbroich,27.698,60.317,60.835,64.688,63.891,63.620,Nordrhein-Westfalen
141.,Rosenheim,37.078,51.604,56.340,58.908,61.299,63.324,Bayern
142.,Herten,52.966,69.247,69.245,66.930,62.235,61.791,Nordrhein-Westfalen
143.,Bergheim,10.493,54.064,58.146,63.526,62.129,61.612,Nordrhein-Westfalen
144.,Schwäbisch Gmünd,44.385,56.901,60.081,62.188,59.654,61.186,Baden-Württemberg
145.,Friedrichshafen,43.651,52.080,54.129,57.213,59.002,60.865,Baden-Württemberg
146.,Garbsen,26.444,57.522,60.776,63.269,61.790,60.754,Niedersachsen
147.,Wesel,45.338,56.776,59.631,62.063,60.750,60.357,Nordrhein-Westfalen
148.,Hürth,52.235,50.794,50.808,53.261,57.922,60.189,Nordrhein-Westfalen
149.,Offenburg,33.066,50.486,52.964,56.891,59.215,59.646,Baden-Württemberg
150.,Stralsund,71.489,74.947,72.780,60.663,57.670,59.421,Mecklenburg-Vorpommern
151.,Greifswald,47.017,61.278,66.251,54.236,54.610,59.382,Mecklenburg-Vorpommern
152.,Langenfeld (Rheinland),44.217,47.027,53.455,58.429,59.160,58.927,Nordrhein-Westfalen
153.,Neu-Ulm,27.925,47.415,46.264,50.188,53.504,58.707,Bayern
154.,Unna,50.299,56.416,61.552,71.375,66.502,58.633,Nordrhein-Westfalen
155.,Euskirchen,42.278,44.811,49.654,53.680,55.620,57.975,Nordrhein-Westfalen
156.,Frankfurt (Oder),62.433,80.414,86.131,72.131,60.330,57.873,Brandenburg
157.,Göppingen,48.028,53.347,54.957,57.371,56.819,57.558,Baden-Württemberg
158.,Hameln,47.201,58.390,58.539,58.807,57.771,57.510,Niedersachsen
159.,Stolberg (Rheinland),39.704,57.550,57.231,58.682,57.474,56.792,Nordrhein-Westfalen
160.,Eschweiler,38.666,53.478,54.675,55.090,55.505,56.385,Nordrhein-Westfalen
161.,Görlitz,87.492,81.399,72.237,61.599,55.596,56.324,Sachsen
162.,Meerbusch,46.904,49.876,52.104,55.175,54.318,56.189,Nordrhein-Westfalen
163.,Sankt Augustin,31.892,48.580,51.886,55.248,55.442,55.767,Nordrhein-Westfalen
164.,Hilden,50.228,53.343,54.782,56.412,55.441,55.764,Nordrhein-Westfalen
165.,Waiblingen,24.195,45.114,48.387,51.362,52.900,55.449,Baden-Württemberg
166.,Baden-Baden,37.185,49.142,51.849,52.627,54.445,55.123,Baden-Württemberg
167.,Hattingen,59.392,57.373,58.241,58.329,55.510,54.562,Nordrhein-Westfalen
168.,Lingen (Ems),31.522,44.097,49.137,51.684,51.177,54.422,Niedersachsen
169.,Bad Homburg vor der Höhe,42.066,51.221,51.820,52.838,52.229,54.248,Hessen
170.,Langenhagen,35.474,46.764,47.432,49.432,52.583,54.244,Niedersachsen
171.,Bad Salzuflen,49.571,51.248,53.771,55.028,53.893,54.127,Nordrhein-Westfalen
172.,Pulheim,11.323,44.870,49.353,53.158,53.769,54.071,Nordrhein-Westfalen
173.,Schweinfurt,58.178,52.445,54.483,54.325,53.415,54.032,Bayern
174.,Nordhorn,44.470,48.492,49.359,51.968,53.052,53.403,Niedersachsen
175.,Neustadt an der Weinstraße,50.952,50.328,51.988,53.658,52.855,53.148,Rheinland-Pfalz
176.,Wetzlar,36.922,51.997,51.737,52.608,51.499,52.954,Hessen
177.,Menden (Sauerland),30.109,53.337,56.527,59.239,55.496,52.912,Nordrhein-Westfalen
178.,Ahlen,49.970,54.192,54.169,55.631,53.414,52.582,Nordrhein-Westfalen
179.,Frechen,31.337,43.483,44.360,47.019,49.939,52.473,Nordrhein-Westfalen
180.,Passau,30.758,50.698,50.328,50.536,50.594,52.469,Bayern
181.,Wolfenbüttel,40.527,50.256,52.032,54.690,53.427,52.174,Niedersachsen
182.,Ibbenbüren,17.561,42.323,44.643,48.843,51.522,51.904,Nordrhein-Westfalen
183.,Kleve,43.640,44.026,45.963,48.662,49.477,51.845,Nordrhein-Westfalen
184.,Bad Kreuznach,42.258,41.143,40.950,43.164,43.703,50.948,Rheinland-Pfalz
185.,Goslar,40.051,52.556,46.251,44.278,40.989,50.753,Niedersachsen
186.,Gummersbach,44.880,48.660,50.965,53.311,51.309,50.688,Nordrhein-Westfalen
187.,Ravensburg,32.045,42.269,45.650,47.525,49.774,50.623,Baden-Württemberg
188.,Willich,37.747,39.115,42.416,50.300,51.949,50.592,Nordrhein-Westfalen
189.,Speyer,42.184,43.864,46.553,49.776,49.857,50.378,Rheinland-Pfalz
190.,Emden,48.595,51.186,50.735,50.963,51.616,50.195,Niedersachsen
191.,Böblingen,36.127,41.505,44.903,45.838,46.488,50.155,Baden-Württemberg
192.,Peine,31.205,47.591,46.654,49.494,48.743,49.952,Niedersachsen
193.,Elmshorn,41.262,41.439,43.689,47.391,48.924,49.883,Schleswig-Holstein
194.,Erftstadt,36.578,43.208,45.403,50.689,50.553,49.801,Nordrhein-Westfalen
195.,Rastatt,29.915,37.297,42.241,46.437,47.554,49.783,Baden-Württemberg
196.,Heidenheim an der Brenz,49.853,48.585,50.532,51.301,48.164,49.526,Baden-Württemberg
197.,Lörrach,33.995,41.355,42.500,45.412,48.380,49.347,Baden-Württemberg
198.,Leonberg,25.049,38.927,42.654,44.037,45.098,48.733,Baden-Württemberg
199.,Bergkamen,44.304,47.977,49.761,52.905,50.587,48.725,Nordrhein-Westfalen
200.,Bad Oeynhausen,13.948,44.339,46.475,50.007,48.300,48.702,Nordrhein-Westfalen
201.,Freising,29.569,34.577,37.046,40.890,45.223,48.634,Bayern
202.,Frankenthal (Pfalz),41.493,43.725,46.966,47.763,46.793,48.561,Rheinland-Pfalz
203.,Rheda-Wiedenbrück,36.943,37.944,38.327,44.932,47.316,48.505,Nordrhein-Westfalen
204.,Cuxhaven,47.185,58.666,56.090,53.391,50.492,48.371,Niedersachsen
205.,Bornheim,31.420,34.293,35.858,45.407,48.531,48.326,Nordrhein-Westfalen
206.,Gronau (Westf.),26.482,41.209,40.687,44.860,46.553,48.072,Nordrhein-Westfalen
207.,Straubing,37.826,42.674,41.715,44.014,44.450,47.794,Bayern
208.,Singen (Hohentwiel),41.427,43.529,43.689,44.478,45.826,47.723,Baden-Württemberg
209.,Stade,32.769,42.818,42.487,44.929,46.159,47.533,Niedersachsen
210.,Soest,37.671,40.791,42.602,48.520,48.579,47.460,Nordrhein-Westfalen
211.,Dachau,32.929,33.950,35.387,38.398,42.506,47.400,Bayern
212.,Hennef (Sieg),26.053,29.224,32.521,42.711,46.114,47.339,Nordrhein-Westfalen
213.,Alsdorf,30.778,46.373,46.935,46.087,45.522,47.018,Nordrhein-Westfalen
214.,Lahr/Schwarzwald,25.030,35.465,34.719,42.411,43.827,46.797,Baden-Württemberg
215.,Landau in der Pfalz,31.437,36.522,37.274,41.122,43.615,46.677,Rheinland-Pfalz
216.,Dülmen,21.168,38.712,40.496,46.552,46.762,46.590,Nordrhein-Westfalen
217.,Melle,16.154,40.859,41.579,45.390,46.141,46.493,Niedersachsen
218.,Neunkirchen,43.411,51.992,51.536,50.882,47.398,46.469,Saarland
219.,Herzogenrath,9.034(a),42.722,44.284,46.853,46.708,46.402,Nordrhein-Westfalen
220.,Schwerte,24.402,47.810,50.696,50.834,48.259,46.340,Nordrhein-Westfalen
221.,Oberursel (Taunus),25.301,38.979,40.180,42.096,43.741,46.248,Hessen
222.,Lutherstadt Wittenberg,47.323,53.870,49.682,48.972,49.496,46.008,Sachsen-Anhalt
223.,Hof,54.058,53.180,52.913,50.741,46.286,45.930,Bayern
224.,Filderstadt4,11.311,37.300,38.498,41.924,44.348,45.813,Baden-Württemberg
225.,Gotha,57.010,57.892,54.525,48.376,45.593,45.733,Thüringen
226.,Fellbach,29.000,41.383,40.930,42.822,44.665,45.671,Baden-Württemberg
227.,Bünde,40.403,40.056,40.508,44.582,44.786,45.521,Nordrhein-Westfalen
228.,Albstadt5,22.446,48.152,49.021,48.155,44.974,45.327,Baden-Württemberg
229.,Weinheim,29.640,41.654,42.241,42.718,43.682,45.284,Baden-Württemberg
230.,Rodgau6,10.035,35.736,40.088,43.123,43.283,45.202,Hessen
231.,Bruchsal,27.151,37.351,38.059,41.580,43.224,44.644,Baden-Württemberg
232.,Oranienburg,20.381,25.300,28.696,29.872,41.810,44.512,Brandenburg
233.,Brühl,40.975,42.895,41.829,43.839,44.260,44.397,Nordrhein-Westfalen
234.,Erkrath,20.141,43.703,47.659,48.767,45.963,44.384,Nordrhein-Westfalen
235.,Neustadt am Rübenberge,13.463,38.226,39.532,45.026,45.049,44.282,Niedersachsen
236.,Lehrte,21.940,38.371,40.350,43.872,43.259,43.999,Niedersachsen
237.,Kaufbeuren,38.918,42.013,40.432,41.905,41.843,43.893,Bayern
238.,Falkensee,26.007,24.084,22.047,33.791,40.511,43.844,Brandenburg
239.,Memmingen,32.955,38.298,39.333,40.849,41.025,43.837,Bayern
240.,Rottenburg am Neckar,13.083,31.770,36.006,40.987,42.501,43.723,Baden-Württemberg
241.,Kaarst,15.929,38.127,40.508,42.158,42.001,43.433,Nordrhein-Westfalen
242.,Erkelenz,12.435,35.773,37.833,43.194,44.457,43.364,Nordrhein-Westfalen
243.,Pinneberg,34.987,36.683,37.518,39.423,42.508,43.280,Schleswig-Holstein
244.,Bietigheim-Bissingen7,22.492,34.365,38.961,40.312,42.810,43.093,Baden-Württemberg
245.,Kamen,42.058,44.017,46.160,46.565,44.398,42.971,Nordrhein-Westfalen
246.,Wismar,56.287,57.455,55.509,47.031,44.397,42.550,Mecklenburg-Vorpommern
247.,Borken,29.402,32.420,36.049,40.474,41.245,42.530,Nordrhein-Westfalen
248.,Weiden in der Oberpfalz,42.244,43.886,42.234,43.030,41.961,42.520,Bayern
249.,Gifhorn,23.405,33.154,38.678,42.943,41.558,42.519,Niedersachsen
250.,Nettetal,36.838,37.302,38.820,41.871,41.736,42.493,Nordrhein-Westfalen
251.,Eisenach,50.918,50.571,45.220,44.442,42.750,42.370,Thüringen
252.,Dreieich10,22.789,39.076,38.965,40.114,40.484,42.091,Hessen
253.,Aurich,11.880,34.647,36.856,40.278,40.572,41.991,Niedersachsen
254.,Amberg,41.345,44.264,43.111,43.794,43.755,41.970,Bayern
255.,Heinsberg,10.854,36.436,37.305,41.318,40.760,41.946,Nordrhein-Westfalen
256.,Ansbach,33.219,38.183,37.893,40.165,40.253,41.847,Bayern
257.,Homburg,32.497,41.847,43.696,45.769,43.808,41.811,Saarland
258.,Nordhausen,44.547,47.038,46.422,45.633,44.296,41.791,Thüringen
259.,Wunstorf,17.211,37.676,38.276,41.474,41.014,41.594,Niedersachsen
260.,Seevetal(*) 9,6.030(a),36.059,36.740,40.536,42.213,41.506,Niedersachsen
261.,Siegburg,33.667,34.616,35.441,37.638,39.746,41.463,Nordrhein-Westfalen
262.,Laatzen,13.666,34.748,37.242,38.402,40.254,41.422,Niedersachsen
263.,Coburg,42.671,45.633,44.246,42.756,41.076,41.249,Bayern
264.,Königswinter,31.357,34.983,35.013,38.891,40.771,41.243,Nordrhein-Westfalen
265.,Nürtingen,21.432,35.680,38.337,39.040,40.364,41.093,Baden-Württemberg
266.,Freiberg,50.362,51.373,48.609,45.428,41.342,40.885,Sachsen
267.,Schwabach,26.551,35.387,35.514,38.213,38.879,40.792,Bayern
268.,Lemgo,38.984,39.864,39.485,41.995,41.424,40.696,Nordrhein-Westfalen
269.,Monheim am Rhein,38.094,40.559,42.656,43.514,43.063,40.645,Nordrhein-Westfalen
270.,Kirchheim unter Teck,28.921,32.136,35.842,38.796,39.859,40.523,Baden-Württemberg
271.,Bensheim,27.675,32.964,35.056,38.557,39.729,40.456,Hessen
272.,Schwäbisch Hall,23.665,31.562,32.226,35.456,37.137,40.440,Baden-Württemberg
273.,Weißenfels,46.223,39.860,36.865,31.946,41.434,40.409,Sachsen-Anhalt
274.,Pirmasens,55.211,49.876,47.680,45.212,40.384,40.403,Rheinland-Pfalz
275.,Germering,16.444,34.788,36.034,36.348,37.780,40.389,Bayern
276.,Eberswalde12,46.299,53.240,52.586,44.623,40.944,40.387,Brandenburg
277.,Halberstadt,46.724,47.834,45.364,41.417,42.605,40.256,Sachsen-Anhalt
278.,Buxtehude,22.799,31.631,32.276,36.699,39.748,40.150,Niedersachsen
279.,Leinfelden-Echterdingen13,12.488,35.263,34.940,35.667,37.222,40.092,Baden-Württemberg
280.,Neumarkt in der Oberpfalz,18.852,30.477,35.551,39.307,39.163,40.002,Bayern
281.,Hückelhoven11,24.853,35.196,34.816,38.970,39.215,39.931,Nordrhein-Westfalen
282.,Hofheim am Taunus,18.705,33.197,35.277,37.441,38.253,39.766,Hessen
283.,Löhne,36.860,37.147,38.557,41.421,40.199,39.697,Nordrhein-Westfalen
284.,Schorndorf,20.979,33.631,37.687,38.645,39.236,39.634,Baden-Württemberg
285.,Freital,42.103,46.149,40.033,40.129,39.275,39.562,Sachsen
286.,Stendal,36.786,44.336,48.532,39.795,42.435,39.439,Sachsen-Anhalt
287.,Völklingen,39.423,44.800,43.751,42.990,39.626,39.374,Saarland
288.,Ettlingen,21.548,36.995,37.759,38.433,38.553,39.339,Baden-Württemberg
289.,Ostfildern14,11.371,28.748,28.678,30.460,36.163,39.321,Baden-Württemberg
290.,Maintal15,16.429,36.916,36.336,38.179,37.962,39.298,Hessen
291.,Buchholz in der Nordheide,13.996,28.521,31.489,35.916,38.735,39.272,Niedersachsen
292.,Ahaus,15.986,27.988,31.202,37.279,38.952,39.223,Nordrhein-Westfalen
293.,Bautzen,43.818,48.277,48.588,43.353,40.573,39.087,Sachsen
294.,Mettmann,30.623,36.676,38.998,38.708,39.300,38.829,Nordrhein-Westfalen
295.,Bernau bei Berlin,13.940,17.847,19.062,24.861,36.338,38.825,Brandenburg
296.,Würselen,19.903,34.847,34.406,36.323,37.693,38.712,Nordrhein-Westfalen
297.,Bitterfeld-Wolfen8,29.232,22.933,17.988,16.507,45.171,38.475,Sachsen-Anhalt
298.,Pirna,47.533,47.551,41.798,42.108,38.705,38.320,Sachsen
299.,Niederkassel,20.616,25.996,29.240,34.613,37.552,38.218,Nordrhein-Westfalen
300.,Haltern am See,15.272,30.965,34.025,36.776,37.763,38.013,Nordrhein-Westfalen
301.,Langen,29.891,28.826,31.992,35.208,35.570,37.902,Hessen
302.,Greven,26.653,28.743,31.010,34.217,36.044,37.692,Nordrhein-Westfalen
303.,Fürstenfeldbruck,22.728,31.887,31.040,32.405,34.152,37.677,Bayern
304.,Neu-Isenburg,34.873,35.816,35.768,35.524,36.034,37.668,Hessen
305.,Papenburg,17.305,27.571,30.078,34.096,35.032,37.579,Niedersachsen
306.,Kamp-Lintfort,38.429,37.961,39.019,39.982,38.394,37.391,Nordrhein-Westfalen
307.,Backnang,27.704,29.149,31.687,34.465,35.395,37.253,Baden-Württemberg
308.,Warendorf,19.043,33.147,35.092,38.688,38.134,37.226,Nordrhein-Westfalen
309.,Königs Wusterhausen,10.435,15.005,18.103,17.262,33.981,37.190,Brandenburg
310.,Ilmenau,19.220,26.293,28.454,27.176,26.022,36.716,Thüringen
311.,Beckum,27.508,37.899,36.772,37.916,36.736,36.646,Nordrhein-Westfalen
312.,Erding,10.838,23.770,25.154,31.165,34.514,36.469,Bayern
313.,Coesfeld,26.412,31.063,32.739,35.947,36.345,36.217,Nordrhein-Westfalen
314.,Wesseling,25.948,29.005,30.710,34.931,35.116,36.146,Nordrhein-Westfalen
315.,Kehl,16.056,29.924,30.389,33.359,34.789,36.089,Baden-Württemberg
316.,Emsdetten,29.053,31.026,31.930,35.230,35.523,36.012,Nordrhein-Westfalen
